1,59847
2,59787
3,59801
4,59752
5,59619
6,59409
7,59807
8,59781
9,59323
10,59567
11,59678
12,59567
13,59572
14,59423
15,59442
16,59506
17,59398
18,59278
19,59499
20,59689
21,59586
22,59277
23,59922
24,59845
25,59774
26,59828
27,59632
28,59117
29,59459
30,59334
31,59323
32,59794
33,59903
34,59386
35,59821
36,59816
37,59601
38,60214
39,60040
40,59592
41,59818
42,59667
43,59575
44,59678
45,59458
46,59743
47,59830
48,59773
49,59995
50,59611
51,59832
52,59285
53,59803
54,59639
55,59335
56,59051
57,59827
58,59754
59,59631
60,59464
61,59235
62,59485
63,59776
64,59396
65,59737
66,59454
67,59570
68,59548
69,59999
70,60233
71,59413
72,59437
73,59541
74,59738
75,59446
76,59573
77,59599
78,59279
79,59618
80,59662
81,59754
82,59833
83,59210
84,59232
85,59358
86,59276
87,59650
88,59272
89,59325
90,59225
91,59400
92,59611
93,59290
94,59413
95,59473
96,59612
97,59543
98,59686
99,59791
100,59719
