1,67835
2,70375
3,70120
4,69961
5,69478
6,69432
7,69727
8,69178
9,69107
10,69061
11,69054
12,69565
13,69622
14,69672
15,69809
16,69719
17,69926
18,69973
19,69823
20,70325
21,69661
22,69907
23,69271
24,69581
25,69694
26,70004
27,70100
28,69936
29,69679
30,69634
31,69670
32,69744
33,69805
34,70505
35,69825
36,69809
37,69612
38,70197
39,70225
40,69853
41,69197
42,69794
43,69916
44,70045
45,69744
46,69341
47,68979
48,69285
49,69606
50,69166
51,69363
52,69389
53,68762
54,69160
55,69657
56,70022
57,70140
58,70291
59,70158
60,70472
61,70324
62,70338
63,70594
64,69601
65,69889
66,69619
67,70011
68,69492
69,69361
70,69574
71,69558
72,69992
73,70848
74,70845
75,70154
76,69262
77,68854
78,69231
79,69753
80,69257
81,69616
82,69271
83,69647
84,69417
85,69202
86,69326
87,69582
88,70091
89,70306
90,69994
91,70251
92,70115
93,70389
94,70341
95,70221
96,70047
97,69771
98,70021
99,69580
100,70512
