IP_1_Block_16,,,,,,,,
COEFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,Coeff Sum,,,
313004,75688,7584,450,,3131521,746552,76758,4404
308062,73591,7788,438,,Mdiff Sum,,,
307416,73676,7782,438,,7506,7602,7614,4984
311842,74400,7348,444,,Bit Sum,,,
310838,73734,7574,456,,3139027,754154,84372,9388
311959,74273,7871,444,,Bitrate,,,
313730,74309,7628,438,,,,,
317370,76067,7676,438,,Avg PSNR,,,
317180,74957,7706,426,,33.583282,29.9655879,24.6002401,16.677158
320120,75857,7801,432,,,,,
,,,,,,,,
MDIFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
730,752,766,504,,,,,
758,764,778,500,,,,,
756,762,770,500,,,,,
744,748,756,508,,,,,
756,772,754,512,,,,,
752,778,754,500,,,,,
772,776,756,496,,,,,
750,762,746,496,,,,,
762,750,792,480,,,,,
726,738,742,488,,,,,
,,,,,,,,
PSNR,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
33.708862,29.964457,24.756714,16.780685,,,,,
34.120361,29.683884,24.80423,16.633581,,,,,
33.639225,30.075037,24.727745,16.6241,,,,,
33.419682,29.971407,24.604351,16.76329,,,,,
33.338516,30.440104,24.515469,16.767727,,,,,
33.522121,29.633247,24.632418,16.65517,,,,,
33.60247,29.951128,24.602324,16.665899,,,,,
34.025307,29.966553,24.516148,16.629339,,,,,
32.572933,30.055256,24.667276,16.652952,,,,,
33.883343,29.914806,24.175726,16.598837,,,,,
,,,,,,,,
RUN_TIME,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
103.02,97.72,103.22,106.61,,,,,
