IP_10_Block_16,,,,,,,,
COEFF BITS,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,Coeff Sum,,,
313004,75688,7584,450,,2491490,356085,16532,4020
251222,36648,1234,396,,Mdiff Sum,,,
247312,34404,1348,396,,18234,21346,26846,17598
230013,29238,1071,396,,Bit Sum,,,
247015,30853,1056,396,,2509724,377431,43378,21618
249701,33262,886,396,,Bitrate,,,
200581,24249,814,396,,21579.74205,3233.921686,371.7689407,212.96424
256813,29860,863,396,,Avg PSNR,,,
240482,28862,824,396,,32.9477172,29.6243075,25.4584316,17.5058719
255347,33021,852,402,,,,,
,,,,,21579.74205,32.9477172,,
MDIFF BITS,,,,,3233.921686,29.6243075,,
QP = 1,QP = 4,QP = 7,QP = 10,,371.7689407,25.4584316,,
730,752,766,504,,212.96424,17.5058719,,
1968,2448,3122,1992,,,,,
2050,2402,2902,1994,,,,,
1970,2220,2934,2024,,,,,
2006,2318,2944,2000,,,,,
1968,2324,2972,1956,,,,,
1782,2050,2866,1828,,,,,
1976,2338,2854,1766,,,,,
1846,2152,2798,1766,,,,,
1938,2342,2688,1768,,,,,
,,,,,,,,
PSNR,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
33.708862,29.964457,24.756714,16.780685,,,,,
33.058338,30.014275,25.317369,17.051704,,,,,
33.038017,29.728592,25.491802,17.263325,,,,,
32.939011,29.379181,25.496674,17.492327,,,,,
32.670891,29.53459,25.580942,17.696299,,,,,
32.728233,29.39349,25.578674,17.792618,,,,,
32.909054,29.467676,25.54167,17.783245,,,,,
32.958599,29.515102,25.593788,17.735598,,,,,
32.54533,29.429565,25.613285,17.726906,,,,,
32.920837,29.816147,25.613398,17.736012,,,,,
,,,,,,,,
RUN_TIME,,,,,,,,
QP = 1,QP = 4,QP = 7,QP = 10,,,,,
116.3,116.71,116.68,101.51,,,,,
