1,229138
2,176937
3,172750
4,167034
5,180309
6,188292
7,172378
8,101265
9,78253
10,74545
11,73108
12,72755
13,72892
14,72784
15,182532
16,174320
17,187303
18,199334
19,201054
20,203858
21,222264
