I Frame: 0, 9, 0.066798, 10, 0.047663, 10, 0.021183, 10, 0.060796, 10, 0.047310, 9, 0.075272, 9, 0.075342, 10, 0.050981, 10, 0.050275, 10, 0.060020, 9, 0.078944, 10, 0.048510, 10, 0.061220, 10, 0.048793, 9, 0.074636, 10, 0.048863, 10, 0.022243, 10, 0.061150, 
P Frame: 1, 8, 0.031467, 8, 0.108909, 8, 0.029219, 8, 0.030445, 8, 0.107683, 8, 0.099101, 8, 0.028811, 8, 0.033306, 8, 0.043523, 8, 0.034736, 8, 0.099510, 8, 0.033306, 8, 0.032080, 8, 0.029219, 8, 0.099510, 8, 0.027789, 8, 0.027380, 8, 0.104005, 
P Frame: 2, 8, 0.029825, 8, 0.049544, 8, 0.029579, 8, 0.036973, 8, 0.062115, 8, 0.043628, 8, 0.042149, 8, 0.030564, 8, 0.044614, 8, 0.080601, 5, 0.155287, 8, 0.045600, 6, 0.130638, 8, 0.040670, 8, 0.041903, 8, 0.049051, 8, 0.027607, 8, 0.059650, 
P Frame: 3, 4, 0.092432, 5, 0.087303, 6, 0.051630, 6, 0.046729, 5, 0.061318, 5, 0.057670, 5, 0.061887, 6, 0.048667, 6, 0.056303, 5, 0.066788, 8, 0.020401, 6, 0.055733, 8, 0.021769, 6, 0.050490, 8, 0.036927, 8, 0.035104, 8, 0.031115, 4, 0.117734, 
P Frame: 4, 8, 0.012560, 8, 0.026366, 8, 0.032982, 4, 0.122627, 8, 0.016491, 8, 0.021572, 8, 0.029434, 6, 0.049377, 4, 0.125503, 6, 0.048897, 8, 0.029914, 4, 0.098754, 5, 0.093960, 6, 0.052637, 5, 0.077181, 6, 0.057430, 5, 0.078523, 8, 0.025791, 
P Frame: 5, 8, 0.023688, 8, 0.039402, 5, 0.101177, 8, 0.010992, 8, 0.020282, 8, 0.037545, 8, 0.029958, 5, 0.080663, 8, 0.032900, 6, 0.060458, 8, 0.036848, 8, 0.028487, 8, 0.046602, 6, 0.070909, 8, 0.035996, 8, 0.038164, 6, 0.073850, 3, 0.232079, 
P Frame: 6, 8, 0.021277, 5, 0.044833, 6, 0.031345, 3, 0.135258, 5, 0.047492, 6, 0.033055, 5, 0.051672, 3, 0.110942, 4, 0.059271, 5, 0.035524, 4, 0.059460, 4, 0.074088, 5, 0.039704, 4, 0.085486, 5, 0.049582, 4, 0.053381, 5, 0.042743, 7, 0.024886, 
I Frame: 7, 10, 0.059241, 9, 0.052266, 9, 0.061222, 9, 0.054126, 9, 0.057530, 9, 0.045784, 9, 0.058125, 9, 0.060822, 8, 0.060302, 8, 0.053355, 8, 0.049672, 8, 0.055670, 8, 0.051653, 8, 0.044947, 8, 0.047933, 7, 0.046324, 7, 0.062497, 7, 0.078530, 
P Frame: 8, 6, 0.099942, 8, 0.060545, 5, 0.183372, 8, 0.056489, 8, 0.065469, 8, 0.061703, 8, 0.054171, 8, 0.061993, 8, 0.037949, 8, 0.032445, 8, 0.032445, 8, 0.032445, 8, 0.034183, 8, 0.037080, 8, 0.043453, 8, 0.032445, 8, 0.033604, 8, 0.040267, 
P Frame: 9, 5, 0.038922, 5, 0.051074, 8, 0.019725, 4, 0.074146, 4, 0.058647, 5, 0.046319, 4, 0.058647, 4, 0.058119, 4, 0.078725, 5, 0.051603, 5, 0.049665, 4, 0.095632, 4, 0.069919, 5, 0.053540, 4, 0.070800, 8, 0.020782, 5, 0.038042, 4, 0.065692, 
