Block_16_IP_1_RDO_0
COEFF BITS
QP = 1,QP = 4,QP = 7,QP = 10,
313004,75688,7584,450,
308062,73591,7788,438,
307416,73676,7782,438,
311842,74400,7348,444,
310838,73734,7574,456,
311959,74273,7871,444,
313730,74309,7628,438,
317370,76067,7676,438,
317180,74957,7706,426,
320120,75857,7801,432,

MDIFF BITS
QP = 1,QP = 4,QP = 7,QP = 10,
730,752,766,504,
758,764,778,500,
756,762,770,500,
744,748,756,508,
756,772,754,512,
752,778,754,500,
772,776,756,496,
750,762,746,496,
762,750,792,480,
726,738,742,488,

PSNR
QP = 1,QP = 4,QP = 7,QP = 10,
33.708862,29.964457,24.756714,16.780685,
34.120361,29.683884,24.804230,16.633581,
33.639225,30.075037,24.727745,16.624100,
33.419682,29.971407,24.604351,16.763290,
33.338516,30.440104,24.515469,16.767727,
33.522121,29.633247,24.632418,16.655170,
33.602470,29.951128,24.602324,16.665899,
34.025307,29.966553,24.516148,16.629339,
32.572933,30.055256,24.667276,16.652952,
33.883343,29.914806,24.175726,16.598837,

RUN_TIME
QP = 1,QP = 4,QP = 7,QP = 10,
80.25,90.91,77.04,78.43,
