Block_8_IP_10_RDO_0
COEFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
423684,121766,17584,1830,
356980,72181,3858,1584,
354217,71295,3612,1620,
341384,64784,3780,1584,
360769,70866,3321,1584,
357037,70420,2977,1584,
304730,52490,2689,1584,
367916,68064,2484,1596,
348757,62492,2698,1590,
359229,66072,2798,1584,

MDIFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
2948,3020,2778,2080,
8498,10020,11892,7894,
8746,9646,11652,7820,
7866,8874,11310,7710,
8376,9316,10938,7608,
8248,9348,11084,7422,
7484,8636,11008,7362,
8624,9426,10986,7634,
7706,9032,10768,7710,
7844,9258,10882,7654,

PSNR
QP = 0,QP = 3,QP = 6,QP = 9,
37.880039,31.187199,26.361538,18.360361,
37.822735,31.535202,27.916714,18.989090,
37.798752,31.604729,27.976347,19.427372,
38.061966,31.513731,28.016466,19.733919,
37.768105,31.647970,28.026081,19.964296,
37.758102,31.489567,28.163054,20.089638,
37.785141,31.711214,28.263649,20.176918,
37.741623,31.906233,28.362537,20.339813,
37.043503,31.617466,28.196598,20.499641,
37.247864,31.094696,28.392731,20.607426,

RUN_TIME
QP = 0,QP = 3,QP = 6,QP = 9,
24.31,24.35,23.83,24.32,
