1,67835
2,68890
3,66167
4,62786
5,59980
6,58594
7,57265
8,56582
9,55762
10,55337
11,55063
12,55334
13,56018
14,56545
15,56712
16,56303
17,56230
18,55230
19,55241
20,54684
21,55021
22,54908
23,55128
24,55170
25,55267
26,55514
27,55861
28,55757
29,55431
30,55055
31,55394
32,55784
33,55245
34,55176
35,55006
36,54756
37,54182
38,54182
39,53897
40,53741
41,53512
42,53836
43,53328
44,53698
45,53133
46,52979
47,52661
48,53457
49,54173
50,54319
51,54473
52,54488
53,54505
54,55810
55,56635
56,56572
57,56668
58,56268
59,56492
60,56391
61,55831
62,56245
63,55599
64,55149
65,55049
66,54568
67,54765
68,53974
69,54249
70,54392
71,54216
72,54958
73,54843
74,54620
75,53014
76,51993
77,53761
78,55184
79,56063
80,56058
81,56374
82,56531
83,56572
84,56991
85,58137
86,58373
87,58319
88,57650
89,57441
90,57234
91,57838
92,57572
93,57512
94,56896
95,56335
96,55827
97,54504
98,53471
99,52784
100,53326
