Block_16_IP_10_RDO_0
COEFF BITS
QP = 1,QP = 4,QP = 7,QP = 10,
313004,75688,7584,450,
251222,36648,1234,396,
247312,34404,1348,396,
230013,29238,1071,396,
247015,30853,1056,396,
249701,33262,886,396,
200581,24249,814,396,
256813,29860,863,396,
240482,28862,824,396,
255347,33021,852,402,

MDIFF BITS
QP = 1,QP = 4,QP = 7,QP = 10,
730,752,766,504,
1968,2448,3122,1992,
2050,2402,2902,1994,
1970,2220,2934,2024,
2006,2318,2944,2000,
1968,2324,2972,1956,
1782,2050,2866,1828,
1976,2338,2854,1766,
1846,2152,2798,1766,
1938,2342,2688,1768,

PSNR
QP = 1,QP = 4,QP = 7,QP = 10,
33.708862,29.964457,24.756714,16.780685,
33.058338,30.014275,25.317369,17.051704,
33.038017,29.728592,25.491802,17.263325,
32.939011,29.379181,25.496674,17.492327,
32.670891,29.534590,25.580942,17.696299,
32.728233,29.393490,25.578674,17.792618,
32.909054,29.467676,25.541670,17.783245,
32.958599,29.515102,25.593788,17.735598,
32.545330,29.429565,25.613285,17.726906,
32.920837,29.816147,25.613398,17.736012,

RUN_TIME
QP = 1,QP = 4,QP = 7,QP = 10,
80.18,79.57,79.49,78.47,
