Block_8_IP_10_RDO_1
COEFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
423684,121766,17584,1830,
356980,72181,8997,1614,
354217,71295,8673,1668,
341384,64784,8323,1662,
360769,70866,9031,1661,
357037,70420,7139,1650,
304730,52490,6078,1620,
367916,68064,7292,1656,
348757,62492,8609,1668,
359229,66072,10318,1656,

MDIFF BITS
QP = 0,QP = 3,QP = 6,QP = 9,
2948,3020,2778,2080,
8498,10020,4862,5006,
8746,9646,4846,4838,
7866,8874,4840,4828,
8376,9316,4846,4830,
8248,9348,4836,4838,
7484,8636,4828,4828,
8624,9426,4836,4828,
7706,9032,4852,4832,
7844,9258,4838,4834,

PSNR
QP = 0,QP = 3,QP = 6,QP = 9,
37.880039,31.187199,26.361538,18.360361,
37.822735,31.535202,26.642776,18.319225,
37.798752,31.604729,26.622721,18.184925,
38.061966,31.513731,26.564497,18.165443,
37.768105,31.647970,26.549036,18.233912,
37.758102,31.489567,26.464272,18.258446,
37.785141,31.711214,26.429972,18.237438,
37.741623,31.906233,26.251799,18.239759,
37.043503,31.617466,26.528658,18.241745,
37.247864,31.094696,26.594524,18.218504,

RUN_TIME
QP = 0,QP = 3,QP = 6,QP = 9,
24.48,24.55,23.82,23.79,
