833,-603,-501,-328,-350,-212,-186,-7,78,-56,178,78,16,36,15,1,105,42,4,32,-23,18,-66,-125,67,-89,0,70,1,37,7,-1,43,3,5,12,81,-62,0,-10,-71,-84,-20,37,-33,17,24,7,-275,57,22,-5,11,-8,5,-5,-5,-2,0,0,-3,0,0,0,-31,8,29,-24,2,-9,0,2,0,0,1,-1,0,0,0,0,94,-44,-32,-12,-6,8,1,7,2,4,0,3,0,3,0,0,47,-10,-4,-1,-11,-2,-10,2,2,-5,-3,2,-1,-1,0,0,-311,155,-8,37,0,5,-4,3,7,2,1,0,0,0,0,0,-171,8,9,14,17,14,18,0,4,3,-2,0,0,0,0,0,193,-127,5,-9,1,5,-9,9,7,-6,4,-7,3,2,0,0,415,-141,-59,-10,7,3,1,0,-3,-7,-9,-4,-1,0,0,0,-52,45,-1,8,-20,10,12,-8,-6,2,6,-3,-3,2,0,0,-145,147,-81,57,-35,19,1,-5,7,1,-1,-3,2,0,-1,0,457,146,131,-26,13,-6,15,-9,4,-3,0,-1,-4,-1,1,0,598,-234,-90,-12,-7,-2,-4,-7,4,-6,-3,0,0,0,0,0,-101,42,10,30,-26,21,-31,17,-12,19,-7,2,-1,3,3,0,-194,14,81,7,20,-5,2,-8,10,-4,-11,-1,2,-5,-3,0,340,-13,-55,-41,-32,-15,-10,-12,4,0,-1,-1,0,-1,0,0,-403,120,74,38,-4,15,1,19,13,9,-10,0,4,-5,0,0,420,-5,-115,-2,-73,-4,-10,0,4,-5,-8,0,-3,-3,-3,0,3,-115,110,-37,5,6,-1,-8,3,9,-3,0,-4,1,0,0,-499,153,136,76,-2,40,-40,5,-17,13,-19,14,-1,-1,-3,0
44,151,9,-3,-80,-98,-148,-28,42,-58,109,53,7,22,3,0,28,14,-2,25,-3,32,-55,-114,47,-38,7,41,-4,28,2,0,81,-63,55,-29,87,-14,-28,-21,-63,-60,7,29,-28,3,9,2,17,37,-54,5,-24,5,-11,-1,0,2,-1,-5,0,-1,0,0,-271,97,52,-10,19,0,6,6,2,1,-2,-1,1,0,0,0,149,-38,-15,-18,-18,5,-2,-1,-2,0,-4,0,2,0,0,0,37,-24,1,-4,7,-20,14,-2,0,-3,-1,0,0,0,0,0,320,-133,-10,-29,-10,-5,-5,-2,0,2,-3,1,-1,0,0,0,-369,313,-38,16,-23,5,-6,-3,-1,-2,0,2,-1,1,0,0,-221,20,59,-19,30,6,1,5,1,-4,7,4,-4,2,0,0,208,-116,-55,-8,1,-9,-5,1,0,-1,-1,1,4,2,0,0,-52,19,18,1,-25,9,19,-11,-10,4,8,-7,0,3,0,0,-3,36,-68,54,-36,25,0,-10,7,1,-3,-2,1,0,-1,0,-165,-386,152,16,-22,22,13,5,-8,-4,4,-1,0,0,0,0,-286,226,42,-31,-19,11,3,0,-7,0,0,-2,-3,0,0,0,-4,22,-18,-12,-23,15,-8,7,-19,13,5,6,0,0,0,0,206,-332,92,79,22,15,-14,-3,-18,4,3,-2,-5,-1,0,0,-457,111,73,47,32,16,19,-3,-7,-5,1,0,0,0,0,0,-81,-234,199,32,16,1,11,3,15,7,6,-3,0,-2,0,0,-498,188,7,120,4,30,5,9,8,-6,-5,7,1,2,-1,0,499,-151,-257,9,22,-22,17,-7,0,-1,-10,3,0,3,0,0,-28,-243,199,67,-14,16,-8,27,-20,10,-16,7,-5,0,-1,0
143,-83,-73,-52,78,44,31,-13,-10,50,-56,-8,7,-6,-1,0,-84,-7,-11,-25,36,25,6,3,-21,85,17,-49,-12,-8,0,1,-66,46,-47,-4,-19,70,-28,-19,0,59,29,11,-1,-10,-2,-1,193,-197,30,6,8,6,-2,3,-1,-1,-3,4,2,0,0,0,-245,188,2,-15,9,-4,3,-10,-3,2,-3,-1,1,0,0,0,155,-7,-2,-13,3,-6,-4,-7,-17,-7,-4,-1,4,0,0,0,-39,18,-7,10,-6,12,1,0,-6,0,0,0,-1,1,0,0,-102,-38,41,4,10,3,18,0,0,0,5,-1,2,-1,0,0,360,-169,-62,14,7,-4,6,1,0,0,-4,0,-1,0,0,0,-464,230,13,-1,20,4,-1,7,1,-5,14,2,-2,1,0,0,200,-122,-54,1,8,-1,0,7,1,-2,-4,0,0,0,0,0,10,-16,26,-4,-17,5,11,-6,-7,4,5,-7,4,0,0,0,-32,55,-39,18,-11,5,-1,-4,-7,11,-9,3,1,0,0,0,173,-150,-124,13,-24,-5,11,3,-10,5,0,5,-2,0,0,0,-244,-45,49,69,31,4,1,5,6,-2,0,-1,0,0,0,0,-13,16,0,6,2,-4,-2,2,-8,11,0,-11,-1,2,0,0,113,-39,-199,120,33,6,2,-11,6,-2,0,0,0,-1,0,0,209,-57,-45,-29,-27,-14,-2,4,4,3,9,0,-2,0,0,0,72,-183,-45,176,-14,21,-11,7,0,15,1,-6,-10,0,0,0,-28,17,-108,11,-35,-9,4,0,16,6,-3,3,5,1,0,0,345,159,-32,-232,-63,11,-12,-2,-7,0,-7,-8,1,0,0,0,86,-131,-67,182,-45,-5,-11,-1,19,-8,0,-4,6,-1,0,0
128,-128,-11,5,31,9,62,-11,-38,83,-84,-17,9,-3,0,0,46,-33,-39,-38,27,-7,36,87,-43,81,3,-51,0,-9,-2,0,-1,-11,-12,-33,-75,71,-6,13,44,59,21,-4,12,-3,-5,-3,-205,134,77,-32,8,-16,22,-13,2,-1,5,-3,0,0,0,0,137,98,-85,-32,2,-12,2,-5,0,5,2,0,-1,0,0,0,88,-30,-8,-27,1,-8,-5,-5,1,-2,3,5,1,0,0,0,-43,-2,14,2,23,1,9,-8,3,-2,3,3,0,0,0,0,-41,108,-20,-19,0,1,0,0,-9,-2,1,0,-1,1,0,0,47,-14,0,-37,0,-10,4,-5,8,-5,2,-2,0,0,0,0,53,74,-120,20,-19,6,-14,17,4,-2,0,-1,0,0,0,0,163,-121,-28,20,23,6,0,1,-1,-5,-4,0,0,0,0,0,-7,7,1,1,-11,7,2,-1,-4,5,-1,-1,1,0,0,0,-30,28,-4,9,-6,-2,0,6,-7,5,-4,1,1,0,0,0,35,27,14,-26,-107,-2,-14,-2,-12,-3,-6,0,0,0,0,0,132,-17,-65,-50,-11,15,18,-6,-2,0,0,-1,-1,0,0,0,-15,3,0,-14,-7,26,7,-5,0,-6,-1,-2,0,0,0,0,6,45,-110,-114,122,13,0,0,-7,8,13,0,1,0,0,0,-43,42,26,33,9,0,-1,-12,-4,-12,-2,-3,1,0,0,0,-43,24,-120,45,114,-42,29,0,16,-1,0,-7,1,0,0,0,45,77,-4,26,6,-14,0,-26,2,-7,-7,-2,2,0,0,0,123,41,144,94,-110,-93,-13,-18,-6,-6,0,-1,-4,0,0,0,-36,43,-105,27,108,-75,12,-3,16,-2,-16,-2,2,0,0,0
150,-25,-6,-54,-68,-11,63,19,-37,30,-23,-3,2,1,2,0,28,-17,-18,-16,-10,-32,42,97,-16,-31,-15,7,4,-5,-1,0,-69,73,-64,22,-66,-34,54,36,45,3,-29,-2,6,4,-3,0,138,8,-118,7,-11,12,-16,7,1,-2,-3,-1,0,0,0,0,240,-34,-140,-3,3,-10,8,2,-4,-7,-1,2,0,0,0,0,59,-39,-41,-14,-10,0,11,7,14,8,6,1,0,0,0,0,-4,15,-8,4,0,10,-11,4,-6,6,3,0,-1,0,0,0,75,-73,-48,44,-6,0,1,12,-7,10,-2,-1,0,0,0,0,113,-80,-86,73,12,8,-2,-7,-6,4,-1,3,0,0,0,0,110,-142,-47,21,11,7,12,6,-6,4,2,4,-1,0,0,0,-199,-31,10,25,10,-11,-11,2,7,5,7,4,1,0,0,0,-11,10,-4,-2,1,5,-5,0,4,1,-2,0,0,0,0,0,29,22,-59,25,-2,-16,21,-14,17,-13,6,1,-1,0,0,0,26,14,-27,146,-22,-81,13,-11,-4,-12,-6,-2,-1,0,0,0,119,7,40,14,-18,-30,-19,3,-2,-5,-5,-1,-1,0,0,0,-19,12,13,-12,-1,-11,-7,1,0,10,-1,0,0,0,0,0,13,-29,27,-85,-37,64,-17,5,3,3,2,5,0,0,0,0,-66,-28,-24,-7,-2,0,6,15,11,8,4,0,1,0,0,0,28,-29,-23,-69,77,42,-41,26,3,9,-10,0,0,1,0,0,-111,-10,-14,0,13,-16,30,-5,19,5,-6,0,0,0,0,0,-27,33,0,56,112,-4,-57,-17,-13,0,-7,-3,0,0,0,0,48,-12,-14,-61,72,34,-58,14,1,3,-3,1,0,0,0,0
58,21,1,-73,-32,12,41,3,-25,-11,2,0,0,2,1,0,-85,6,26,15,-34,-36,35,70,-8,-69,-8,8,3,0,0,0,18,-8,9,44,-37,-74,50,33,31,-22,-18,-8,3,5,-1,1,-118,-43,42,43,5,5,-5,9,-9,6,0,0,0,0,0,0,-9,-67,-74,63,25,0,5,0,0,4,0,0,0,0,0,0,37,-14,-21,3,-4,10,6,12,-1,7,-1,0,-1,-1,0,0,67,-6,5,-5,6,-13,1,-7,2,-2,-1,0,0,0,0,0,-48,0,96,-24,-2,-4,-3,-5,2,-4,2,0,0,0,0,0,-195,-86,161,41,-33,13,-2,10,5,7,2,0,0,1,0,0,-210,-43,66,67,-3,15,4,1,-1,-2,3,0,0,0,0,0,-86,-35,4,33,22,5,1,7,3,-1,-1,0,0,0,0,0,24,-12,2,-3,11,0,-8,2,7,0,-1,0,0,0,0,0,-70,56,-22,6,13,-21,24,-13,9,-13,2,0,0,0,0,0,0,21,-17,14,120,-6,-12,2,-11,-4,-2,0,0,-1,0,0,-56,-3,-17,18,31,33,8,-7,-5,3,0,0,0,0,0,0,30,1,3,-6,4,-3,0,3,-11,0,0,0,0,0,0,0,-15,15,-26,-1,-51,11,14,-14,7,6,2,0,0,0,0,0,116,15,11,-5,0,-5,-15,-14,-11,-11,-2,0,0,0,0,0,-6,8,-44,-15,-29,63,6,-16,9,-2,8,0,0,0,0,0,107,13,12,-7,6,-37,12,-13,-5,-7,-2,1,0,0,0,0,-86,8,24,-12,3,56,22,-7,-2,-16,0,0,0,0,0,0,-18,3,-8,-11,-8,55,-19,-21,26,-6,-5,0,1,0,0,0
-6,-18,1,11,-12,-14,34,35,13,1,-9,-5,0,1,0,0,0,-1,38,16,-34,-32,15,28,-32,0,-1,-4,-1,1,2,0,15,19,-16,49,-3,-36,6,-3,5,21,-3,-12,0,0,0,0,84,19,26,-31,-26,-11,11,-16,9,0,0,0,-1,0,0,0,-79,-32,10,73,19,-11,-3,4,0,4,0,0,0,0,0,0,15,13,-3,0,0,2,-10,0,-4,-4,0,0,0,0,0,0,10,1,-7,8,-15,0,-5,3,-2,1,0,0,0,0,0,0,37,28,-62,-32,19,0,11,-3,0,0,0,0,0,0,0,0,97,62,16,-58,-2,-17,-5,-12,-9,-2,-1,0,0,0,0,0,-29,19,90,-8,-24,-7,-6,8,-4,0,-1,0,0,0,0,0,-98,-6,36,43,19,-7,-13,-5,-2,0,0,0,0,0,0,0,27,0,-15,5,11,2,-16,7,7,0,-1,0,1,0,0,0,-12,15,-18,19,9,-21,18,-6,9,-5,0,0,0,-1,0,0,17,-18,-3,-10,3,31,49,16,-12,0,0,0,0,0,0,0,-49,-2,0,-11,-26,-15,14,29,12,-1,0,0,0,0,0,0,4,7,6,-3,6,-1,1,1,-2,0,0,0,0,0,0,0,-7,-2,-5,-29,-4,-4,22,-40,0,3,1,0,0,0,0,0,-108,-6,3,3,7,14,20,14,12,4,0,0,0,0,0,0,1,6,-12,-21,0,-11,24,-5,-3,2,1,2,-1,0,0,0,-68,-3,11,0,21,-12,20,15,4,2,-2,1,0,0,0,0,-41,6,-11,3,5,-17,14,4,-11,3,0,0,0,0,0,0,-10,0,-9,-7,5,21,5,-5,15,-3,-2,-1,1,0,0,0
53,-33,-8,0,-13,11,14,8,-6,6,-11,-1,4,0,0,0,63,-11,11,-2,-21,-8,-8,-1,-15,13,0,-11,-3,1,1,0,76,-28,23,-4,-5,40,-69,4,-7,13,1,-6,-1,-4,0,0,-9,-16,-17,-19,26,17,-2,11,-1,0,0,0,1,0,0,0,-8,-5,34,28,-18,-13,3,5,-2,0,0,1,0,0,0,0,-9,-14,-4,-4,-6,-15,-4,-4,0,0,0,0,1,0,0,0,-33,-9,7,-15,12,-8,7,-2,2,1,0,0,0,0,0,0,-73,-3,7,52,-11,9,-5,-4,2,0,0,1,0,0,0,0,59,-29,0,-8,-42,5,-9,15,2,2,0,-1,0,0,0,0,49,-9,11,-63,16,-12,17,-3,0,0,1,1,0,0,0,0,-178,22,40,27,5,-12,-12,2,3,1,0,0,0,0,0,0,18,15,-27,2,13,0,-18,8,3,0,-2,0,0,0,0,0,72,-10,-5,-20,22,-30,17,-13,7,-2,0,0,0,0,0,0,0,17,0,-11,16,-34,-3,71,0,1,2,3,0,0,0,0,37,-2,-1,-3,4,-12,-28,-26,0,2,0,0,0,0,0,0,-27,9,1,-5,5,-2,-4,0,2,0,-1,1,0,0,0,0,6,3,-1,-6,-3,-8,15,-3,-27,3,0,1,0,0,0,0,41,-9,0,-12,-10,-16,-11,-10,-6,-1,0,0,0,0,0,0,-7,6,-2,-4,-12,-8,-15,12,5,0,1,1,1,0,0,0,6,0,0,-13,0,-16,-12,4,-3,2,-2,2,0,1,0,0,6,2,11,-3,-2,3,-4,8,-3,-10,0,1,0,0,0,0,-21,-12,0,-1,2,4,8,-17,11,0,-4,0,0,0,0,0
64,-21,-43,-7,79,15,-65,-30,0,5,3,5,3,0,-2,-1,-66,0,3,2,10,11,-10,-8,2,6,0,-4,0,2,0,0,-21,0,24,-31,12,34,-39,7,-2,0,0,4,-1,-2,2,-1,12,21,1,19,16,-21,-1,-4,-1,0,-1,-1,0,0,0,0,15,4,17,-4,-9,-6,0,0,-1,0,-1,0,1,0,0,0,-39,-17,-11,-13,-7,0,10,2,3,2,1,0,0,0,0,0,-28,12,-3,7,-8,1,-2,1,0,0,0,0,0,0,0,0,61,-8,11,-35,-18,3,5,0,0,0,-1,0,0,0,0,0,-43,3,4,-64,45,24,7,2,-2,0,0,0,0,0,0,0,-146,18,-24,20,27,-2,13,1,0,0,0,0,0,0,0,0,49,5,23,29,11,-5,-7,0,0,-1,-2,-1,0,0,0,0,20,-7,-14,-1,17,-5,-13,2,1,-1,-1,1,0,0,0,0,1,-15,26,-21,21,-26,17,-4,0,2,-2,2,-1,0,0,0,2,0,-4,9,-11,11,-41,-4,6,0,2,0,0,0,0,0,53,9,11,0,0,11,13,3,-3,-4,0,0,0,0,0,0,4,2,-2,-8,1,0,1,1,0,0,-2,2,0,0,0,0,13,4,1,2,-16,0,-3,17,-7,-11,5,0,0,0,0,0,36,3,8,6,10,9,13,6,0,0,0,-1,-1,0,0,0,3,3,5,-1,-5,-25,-9,-4,1,4,0,1,0,0,0,0,-25,10,0,3,11,10,-3,7,-2,2,-3,-1,0,0,0,0,56,3,2,14,6,-3,10,5,3,0,-9,-5,0,0,0,0,15,-2,-5,0,-1,11,0,-1,-2,8,-4,-3,1,-1,0,0
-57,9,-3,22,51,-2,-11,-9,3,-6,10,1,-1,-1,-1,0,-93,19,36,11,49,12,4,-6,10,-6,0,3,1,1,-1,0,-127,-16,42,15,-8,53,0,2,5,-10,0,6,0,0,1,0,15,-4,-8,13,-41,0,7,0,2,-2,1,1,-1,0,0,0,47,3,8,-10,1,-16,-5,0,0,0,-1,-1,1,0,0,0,-27,0,6,3,7,14,4,3,3,0,0,-1,-2,0,0,0,9,-3,4,-3,7,-6,4,0,0,-1,0,0,0,0,0,0,-57,-2,8,7,24,6,-1,1,0,1,2,0,0,0,0,0,-18,-11,-13,23,18,-20,0,-1,1,1,1,0,0,0,0,0,-14,21,14,34,-16,-24,1,1,0,2,-2,0,0,0,0,0,63,11,27,18,-7,-25,-12,-2,0,0,0,0,0,0,0,0,22,-8,-12,3,12,-8,-3,1,1,-1,0,1,0,0,0,0,-35,-2,4,-2,16,-2,-2,2,-4,5,-4,2,-1,0,0,0,-8,-11,-19,-3,1,-16,0,-6,-4,-6,2,0,0,0,0,0,-34,0,6,6,1,-2,-1,1,4,3,0,0,0,0,0,0,-5,5,-3,4,2,-9,-3,1,0,1,-2,0,0,0,0,0,27,8,10,-7,-3,-1,4,-1,6,-8,-6,2,0,0,0,0,-55,-4,-6,-4,-3,-4,-3,0,0,1,0,1,0,0,0,0,12,15,-8,-7,-2,5,-8,-1,0,3,5,-2,0,0,0,0,19,5,-1,0,-4,0,-3,1,-1,3,0,0,1,0,0,0,41,11,5,-3,7,9,1,0,1,3,5,-3,-5,-1,0,0,-11,3,-4,-2,-1,2,4,-1,0,2,5,-6,0,1,0,0
